category,subcategory,slug,productCount
"Semi Precious","Semi Precious Deals And Steals","semi-precious-deals-and-steals","3043"
"Precious Gems","Precious gems deals and steals","precious-gems-deals-and-steals","1293"
"Semi Precious","Amethyst","amethyst","1162"
"Jewelry","Silver Jewelry","silver-jewelry","1101"
"Precious Gems","Sapphire","sapphire","1046"
"Semi Precious","Citrine","citrine","811"
"Precious Gems","Tanzanite","tanzanite","663"
"Semi Precious","Rhodolite Garnet","rhodolite-garnet","646"
"Semi Precious","Mystic Luxury Topaz","mystic-luxury-topaz","609"
"Semi Precious","Garnet","garnet","455"
"Specials","Diamond Specials","diamond-specials","421"
"Semi Precious","Tourmaline","tourmaline","410"
"Precious Gems","Ruby","ruby","406"
"Semi Precious","Quartz","quartz","337"
"Semi Precious","Loose Beads","loose-beads","304"
"Precious Gems","Emerald","emerald","291"
"Semi Precious","Iolite","iolite","286"
"Semi Precious","Pearls","pearls","275"
"Semi Precious","Swiss Blue Topaz","swiss-blue-topaz","275"
"Diamonds","White Diamonds","white-diamonds","256"
"Jewelry","Diamond Pendants","diamond-pendants","249"
"Jewelry","Diamond Rings","diamond-rings","244"
"Semi Precious","Simulated Gemstones","simulated-gemstones","221"
"Semi Precious","Peridot","peridot","216"
"Diamonds","Blue Diamonds","blue-diamonds","214"
"Semi Precious","White Topaz","white-topaz","187"
"Semi Precious","Aquamarine","aquamarine","184"
"Semi Precious","Sky Blue Topaz","sky-blue-topaz","173"
"Diamonds","Black Diamonds","black-diamonds","161"
"Diamonds","Champagne Diamonds","champagne-diamonds","161"
"Diamonds","Cognac Diamonds","cognac-diamonds","149"
"Semi Precious","Fluorite","fluorite","131"
"Semi Precious","Mystic CZ","mystic-cz","131"
"Diamonds","Yellow Diamonds","yellow-diamonds","125"
"Jewelry","Gemstone Rings","gemstone-rings","123"
"Jewelry","Diamond Earrings","diamond-earrings","115"
"Jewelry","Gold Diamond Semi-mountings","gold-diamond-semi-mountings","114"
"Diamonds","Green Diamonds","green-diamonds","112"
"Semi Precious","Onyx","onyx","105"
"Semi Precious","Chrome Diopside","chrome-diopside","92"
"Diamonds","Pink Diamonds","pink-diamonds","85"
"Semi Precious","Fancy Carved Gemstones","fancy-carved-gemstones","84"
"Jewelry","Gemstone Earrings","gemstone-earrings","78"
"Semi Precious","Rubellite","rubellite","73"
"Semi Precious","Moonstone","moonstone","59"
"Jewelry","Gemstone Pendants","gemstone-pendants","56"
"Jewelry","Jewelry Display","jewelry-display","55"
"Semi Precious","Chalcedony","chalcedony","50"
"Semi Precious","Drusy Quartz","drusy-quartz","49"
"Semi Precious","Carnelian","carnelian","43"
"Semi Precious","Agate","agate","42"
"Semi Precious","Briolettes","briolettes","37"
"Semi Precious","Tiger Eye","tiger-eye","37"
"Semi Precious","Mozambique Garnet","mozambique-garnet","36"
"Diamonds","Canary Diamonds","canary-diamonds","34"
"Diamonds","Silver Diamonds","silver-diamonds","32"
"Semi Precious","Mystic Quartz","mystic-quartz","30"
"Diamonds","Moissanite Synthetic","moissanite-synthetic","23"
"Semi Precious","Turquoise","turquoise","23"
"Semi Precious","Hematite","hematite","19"
"Semi Precious","Kunzite","kunzite","18"
"Semi Precious","Lapis","lapis","16"
"Semi Precious","Collection Gems","collection-gems","15"
"Semi Precious","Opal","opal","15"
"Diamonds","Certified Diamonds","certified-diamonds","13"
"Diamonds","Brown Diamonds","brown-diamonds","12"
"Semi Precious","Chrysoprase","chrysoprase","12"
"Semi Precious","Tsavorite","tsavorite","10"
"Diamonds","Coffee Diamonds","coffee-diamonds","9"
"Watches","Men's Watches","men-s-watches","9"
"Semi Precious","Spessartite Garnet","spessartite-garnet","9"
"Diamonds","Cream Diamonds","cream-diamonds","8"
"Diamonds","Multicolor Diamonds","multicolor-diamonds","7"
"Semi Precious","Coral","coral","7"
"Jewelry","Tanzanite Jewelry","tanzanite-jewelry","6"
"Specials","Gemstone Specials","gemstone-specials","6"
"Semi Precious","Cats Eye","cats-eye","4"
"Watches","Women's Watches","women-s-watches","2"
"Semi Precious","Opal Mosaic","opal-mosaic","2"
"Semi Precious","Prehnite","prehnite","2"
"Specials","Alpha Specials","alpha-specials","2"
"Semi Precious","Prasiolite (Green Amethyst)","prasiolite-green-amethyst","1"
"Jewelry","Diamond Necklaces","diamond-necklaces","1"
"Jewelry","Gemstone Bracelets","gemstone-bracelets","1"
"Diamonds","Orange Diamonds","orange-diamonds","0"
"Semi Precious","Labradorite","labradorite","0"
"Jewelry","Mens Jewelry","mens-jewelry","0"
"Specials","Jewelry Specials","jewelry-specials","0"
"Occasions and gifts","Mother's Day Jewelry","mother-s-day-jewelry","0"
"Occasions and gifts","Anniversary","anniversary","0"
"Occasions and gifts","Birthday birthstone","birthday-birthstone","0"
"Occasions and gifts","Christmas Jewelry","christmas-jewelry","0"
"Occasions and gifts","Thanksgiving Jewelry","thanksgiving-jewelry","0"
"Occasions and gifts","Valentine Jewelry","valentine-jewelry","0"
"Occasions and gifts","Wedding Jewelry","wedding-jewelry","0"
"Watches","Unisex","unisex","0"